ngrdcol,iterations,nz,tasks,total_runs,total,compute_i,baseline,advance_clubb_core_api,output_multi_col,mainloop,acc_data_copyin_r,runloop_r,mainloop_r,loop_init_r,advance_clubb_core_api_r,acc_data_create_r,i_loops_r,ik_loops_r,ik_loops_big_r,penta_lu_solve_multiple_rhs_lhs_r,tridiag_lu_solve_single_rhs_multiple_lhs_r,tridiag_lu_solve_multiple_rhs_lhs_r,fill_holes_r,penta_lu_solve_single_rhs_multiple_lhs_r,setup_pdf_parameters_r,SILHS_r,microphys_r,loop_end_r,output_multi_col_r
4,870,268,4,5,44.031819343566895,0.00957605389342911,2.3759849071502686,0.0,0.0,0.0,0.003,41.475,8.294799999999999,0.1852,8.106399999999999,0.1332,0.038400000000000004,0.281,0.197,0.30219999999999997,0.0006000000000000001,0.2434,0.2786,0.2338,0.0006000000000000001,0.0002,0.0002,0.0002,0.0002
8,870,268,4,5,46.668885231018066,0.01020083763590261,2.2952415148417153,0.0,0.0,0.0,0.003,44.146,8.829,0.1842,8.6418,0.13440000000000002,0.0382,0.2818,0.1968,0.3194,0.0006000000000000001,0.3014,0.4404,0.2716,0.0004,0.0002,0.0002,0.0002,0.0002
16,870,268,4,4,39.18869733810425,0.010601842540434036,2.294285297393799,0.0,0.0,0.0,0.003,36.684,9.17075,0.184,8.98375,0.136,0.03825,0.27975,0.19725,0.325,0.00075,0.33275,0.51075,0.3255,0.0005,0.00025,0.00025,0.00025,0.0
32,870,268,4,4,39.85661196708679,0.010794420534623537,2.2920285065968833,0.0,0.0,0.0,0.002,37.458,9.36425,0.1855,9.1755,0.13325,0.03875,0.28275,0.197,0.3355,0.00075,0.33975,0.519,0.32725,0.0005,0.00025,0.00025,0.00025,0.0
64,870,268,4,3,30.84700846672058,0.010937787289820412,2.2993836402893066,0.0,0.0,0.0,0.003,28.418,9.472333333333333,0.18566666666666667,9.283666666666667,0.13133333333333333,0.03866666666666667,0.2803333333333333,0.19633333333333333,0.34400000000000003,0.0006666666666666666,0.3416666666666666,0.5186666666666667,0.33,0.0006666666666666666,0.0,0.0003333333333333333,0.0003333333333333333,0.0
128,870,268,4,3,31.827348470687866,0.01130635561766448,2.3177603085835776,0.0,0.0,0.0,0.005,29.439,9.812666666666667,0.18766666666666665,9.622,0.13166666666666668,0.03866666666666667,0.2803333333333333,0.19966666666666666,0.35833333333333334,0.0006666666666666666,0.3486666666666667,0.5246666666666667,0.3406666666666667,0.0006666666666666666,0.0,0.0003333333333333333,0.0003333333333333333,0.0
256,870,268,4,2,22.8470561504364,0.011802573359332321,2.3105785051981607,0.0,0.0,0.0,0.005,20.461,10.23,0.1885,10.0385,0.1285,0.0385,0.2815,0.2035,0.4135,0.001,0.372,0.5255,0.3545,0.0005,0.0,0.0,0.0005,0.0
512,870,268,4,2,23.85736083984375,0.012372887271574174,2.3285369873046875,0.0,0.0,0.0,0.011,21.487,10.7435,0.1925,10.5475,0.1355,0.0395,0.285,0.214,0.5035,0.001,0.4075,0.527,0.373,0.0005,0.0,0.0,0.0005,0.0
1024,870,268,4,1,13.471555948257446,0.012735943227892179,2.3912853399912515,0.0,0.0,0.0,0.02,11.058,11.057,0.195,10.859,0.137,0.04,0.296,0.229,0.58,0.001,0.441,0.528,0.395,0.0,0.0,0.0,0.0,0.0
2048,870,268,4,1,15.052764415740967,0.014383585699673357,2.5390448570251465,0.0,0.0,0.0,0.059,12.463,12.462,0.201,12.257,0.157,0.04,0.338,0.29,0.741,0.001,0.621,0.53,0.481,0.001,0.0,0.0,0.0,0.0
4096,870,268,4,1,17.66556715965271,0.017172903850160796,2.7251408100128174,0.0,0.0,0.0,0.057,14.83,14.829,0.212,14.614,0.156,0.041,0.438,0.438,0.824,0.001,0.678,0.538,0.797,0.001,0.0,0.0,0.0,0.0
8192,870,268,4,1,21.885430574417114,0.021724355266468737,2.985241492589315,0.0,0.0,0.0,0.076,18.85,18.849,0.242,18.604,0.16,0.041,0.68,0.739,0.872,0.002,0.783,0.589,0.878,0.001,0.0,0.0,0.0,0.0
16384,870,268,4,1,30.806419610977173,0.03158499034428505,3.327478011449178,0.0,0.0,0.0,0.084,27.385,27.384,0.3,27.08,0.155,0.042,1.182,1.38,0.957,0.002,0.86,0.803,0.918,0.001,0.0,0.0,0.0,0.0
32768,870,268,4,1,48.161158323287964,0.05025054805580227,4.44318151473999,0.0,0.0,0.0,0.144,43.752,43.751,0.406,43.342,0.158,0.042,2.134,2.574,1.095,0.002,0.981,0.838,1.0,0.001,0.0,0.0,0.0,0.0
65536,870,268,4,1,81.78718304634094,0.08651919876478642,6.515480120976766,0.0,0.0,0.0,0.238,75.27,75.269,0.624,74.642,0.158,0.045,4.0,4.925,1.578,0.002,1.226,0.902,1.255,0.001,0.0,0.0,0.0,0.0
131072,870,268,4,1,150.89213037490845,0.16118610489870855,10.660219113032023,0.0,0.0,0.0,0.442,140.308,140.307,1.061,139.244,0.158,0.05,7.696,9.632,3.491,0.003,1.963,1.002,1.927,0.001,0.0,0.0,0.0,0.0
