ngrdcol,iterations,nz,tasks,total_runs,total,compute_i,baseline,advance_clubb_core_api,output_multi_col,mainloop,acc_data_copyin_r,runloop_r,mainloop_r,loop_init_r,advance_clubb_core_api_r,acc_data_create_r,i_loops_r,ik_loops_r,ik_loops_big_r,penta_lu_solve_multiple_rhs_lhs_r,tridiag_lu_solve_multiple_rhs_lhs_r,fill_holes_r,penta_lu_solve_single_rhs_multiple_lhs_r,setup_pdf_parameters_r,SILHS_r,microphys_r,loop_end_r,output_multi_col_r
128,870,34,128,9,2.699770927429199,0.00026814334693996383,0.6002085208892822,0.0,0.0,0.0,0.0,1.93,0.21433333333333335,0.010333333333333333,0.12366666666666666,0.00011111111111111112,0.00022222222222222223,0.006,0.009777777777777778,0.0034444444444444444,0.0015555555555555557,0.001,0.0014444444444444444,0.014666666666666668,0.014555555555555556,0.014444444444444446,0.014444444444444446,0.014333333333333333
256,870,34,128,8,2.60371732711792,0.00029150577568916525,0.5748371283213297,0.0,0.0,0.0,0.0,1.846,0.2305,0.01075,0.143625,0.000125,0.00025,0.008125,0.01075,0.003875,0.001875,0.002375,0.00175,0.013875,0.01375,0.013625,0.01375,0.0135
384,870,34,128,8,2.7126009464263916,0.00030937716650323395,0.5593358675638834,0.0,0.0,0.0,0.0,1.957,0.244375,0.011,0.16075,0.000125,0.00025,0.00925,0.011875,0.004,0.002,0.0035,0.001875,0.013125,0.013,0.013,0.013125,0.012875
512,870,34,128,7,2.4512224197387695,0.00031210120806096354,0.5505260626475016,0.0,0.0,0.0,0.0,1.75,0.24957142857142858,0.011142857142857144,0.16642857142857143,0.00014285714285714287,0.00028571428571428574,0.009857142857142858,0.012857142857142857,0.004285714285714286,0.002285714285714286,0.004428571428571428,0.002142857142857143,0.012857142857142857,0.013,0.013,0.013,0.012857142857142857
640,870,34,128,7,2.533968210220337,0.0003232372087667598,0.5654536088307699,0.0,0.0,0.0,0.0,1.834,0.26142857142857145,0.011285714285714286,0.18185714285714286,0.00014285714285714287,0.00028571428571428574,0.011285714285714286,0.014,0.004571428571428572,0.0025714285714285713,0.0054285714285714284,0.002285714285714286,0.012285714285714285,0.012285714285714285,0.012285714285714285,0.012285714285714285,0.012142857142857144
768,870,34,128,7,2.6215059757232666,0.000337340796522319,0.5671005249023438,0.0,0.0,0.0,0.0,1.921,0.27399999999999997,0.011285714285714286,0.19828571428571426,0.00014285714285714287,0.00028571428571428574,0.012857142857142857,0.015,0.004714285714285714,0.003,0.006714285714285714,0.0025714285714285713,0.011857142857142858,0.011571428571428571,0.011571428571428571,0.011571428571428571,0.011428571428571429
896,870,34,128,7,2.7432355880737305,0.0003555858989980747,0.5777174631754557,0.0,0.0,0.0,0.0,2.024,0.2887142857142857,0.011428571428571429,0.217,0.00014285714285714287,0.00028571428571428574,0.014857142857142857,0.016142857142857143,0.005,0.003428571428571429,0.007714285714285714,0.002857142857142857,0.011142857142857144,0.010714285714285714,0.010714285714285714,0.010857142857142857,0.01057142857142857
1024,870,34,128,6,2.1502525806427,0.0003054073334958209,0.556026299794515,0.0,0.0,0.0,0.0,1.432,0.23816666666666667,0.011999999999999999,0.15133333333333335,0.00016666666666666666,0.00016666666666666666,0.006666666666666667,0.0105,0.0025,0.0021666666666666666,0.010333333333333333,0.0013333333333333333,0.0135,0.0135,0.013333333333333334,0.0135,0.013333333333333334
1152,870,34,128,6,2.442944049835205,0.000357045174254007,0.5791682402292887,0.0,0.0,0.0,0.0,1.738,0.2896666666666667,0.010666666666666666,0.219,0.00016666666666666666,0.00016666666666666666,0.01,0.0195,0.005,0.0025,0.011833333333333333,0.0021666666666666666,0.011000000000000001,0.010666666666666666,0.010666666666666666,0.010666666666666666,0.0105
1280,870,34,128,6,2.535405397415161,0.0003741545847701539,0.5823184649149576,0.0,0.0,0.0,0.0,1.859,0.30933333333333335,0.011500000000000002,0.24116666666666667,0.00016666666666666666,0.00016666666666666666,0.011833333333333333,0.020666666666666667,0.0055000000000000005,0.0028333333333333335,0.013166666666666667,0.0025,0.010666666666666666,0.01,0.01,0.01,0.009833333333333333
1408,870,34,128,6,2.635730028152466,0.000391613554071497,0.5915072758992513,0.0,0.0,0.0,0.0,1.947,0.324,0.011666666666666667,0.2595,0.00016666666666666666,0.0003333333333333333,0.0135,0.021833333333333333,0.005666666666666667,0.0033333333333333335,0.014499999999999999,0.0026666666666666666,0.010166666666666666,0.009333333333333334,0.009333333333333334,0.009333333333333334,0.009166666666666667
1536,870,34,128,6,2.6234891414642334,0.0003898365896475879,0.5885421435038248,0.0,0.0,0.0,0.0,1.971,0.328,0.011333333333333334,0.2638333333333333,0.00016666666666666666,0.00016666666666666666,0.014499999999999999,0.022500000000000003,0.005833333333333334,0.0031666666666666666,0.015833333333333335,0.0028333333333333335,0.01,0.009166666666666667,0.009333333333333334,0.009333333333333334,0.009166666666666667
