ngrdcol,iterations,nz,tasks,total_runs,total,compute_i,baseline,advance_clubb_core_api,output_multi_col,mainloop,acc_data_copyin_r,runloop_r,mainloop_r,loop_init_r,advance_clubb_core_api_r,acc_data_create_r,i_loops_r,ik_loops_r,ik_loops_big_r,penta_lu_solve_multiple_rhs_lhs_r,tridiag_lu_solve_multiple_rhs_lhs_r,fill_holes_r,penta_lu_solve_single_rhs_multiple_lhs_r,setup_pdf_parameters_r,SILHS_r,microphys_r,loop_end_r,output_multi_col_r
36,870,34,36,9,3.957855224609375,0.00016818119648315897,2.6409964561462402,0.0,0.0,0.0,0.0,1.293,0.14366666666666666,0.005555555555555556,0.11344444444444443,0.00011111111111111112,0.00022222222222222223,0.006222222222222223,0.007555555555555556,0.0024444444444444444,0.0016666666666666666,0.0024444444444444444,0.0015555555555555557,0.0047777777777777775,0.0041111111111111105,0.004222222222222222,0.004222222222222222,0.0041111111111111105
72,870,34,36,8,4.042884826660156,0.00020978419945157808,2.582786798477173,0.0,0.0,0.0,0.0,1.36,0.17,0.006125,0.14125,0.000125,0.00025,0.008125,0.0085,0.00275,0.002,0.005375,0.001875,0.0045,0.00375,0.003875,0.003875,0.00375
108,870,34,36,8,4.204678773880005,0.00023189643790438717,2.5906795660654702,0.0,0.0,0.0,0.0,1.578,0.19725,0.00675,0.168875,0.000125,0.00025,0.010125,0.00975,0.003125,0.00225,0.008,0.002,0.00425,0.003625,0.003625,0.00375,0.003625
144,870,34,36,7,3.939788341522217,0.00021834717987010435,2.6100540161132812,0.0,0.0,0.0,0.0,1.21,0.17271428571428574,0.006285714285714285,0.144,0.00014285714285714287,0.00028571428571428574,0.0071428571428571435,0.009,0.002285714285714286,0.0032857142857142855,0.01057142857142857,0.0014285714285714286,0.004428571428571428,0.0037142857142857142,0.003857142857142857,0.003857142857142857,0.0037142857142857142
180,870,34,36,7,4.43698787689209,0.00030079250721965384,2.605161507924398,0.0,0.0,0.0,0.0,1.709,0.24414285714285716,0.007571428571428571,0.21528571428571427,0.00014285714285714287,0.00028571428571428574,0.011571428571428571,0.014714285714285713,0.004,0.0037142857142857142,0.013142857142857142,0.002428571428571429,0.004285714285714286,0.003428571428571429,0.0035714285714285718,0.0035714285714285718,0.003428571428571429
216,870,34,36,7,4.608546257019043,0.0003132196221771825,2.7010387579600015,0.0,0.0,0.0,0.0,1.958,0.2795714285714286,0.008428571428571428,0.25,0.00014285714285714287,0.00028571428571428574,0.014714285714285713,0.015571428571428571,0.004285714285714286,0.0041428571428571434,0.015857142857142858,0.0025714285714285713,0.004428571428571428,0.003428571428571429,0.003428571428571429,0.0035714285714285718,0.003428571428571429
252,870,34,36,7,4.8447585105896,0.0003698864985373611,2.5921497344970703,0.0,0.0,0.0,0.0,2.191,0.313,0.009142857142857144,0.2825714285714286,0.00014285714285714287,0.00028571428571428574,0.016571428571428574,0.016999999999999998,0.004714285714285714,0.004571428571428572,0.01842857142857143,0.002857142857142857,0.004571428571428572,0.0032857142857142855,0.003428571428571429,0.003428571428571429,0.0032857142857142855
288,870,34,36,6,4.253121852874756,0.0003158092194285582,2.604597727457682,0.0,0.0,0.0,0.0,1.589,0.2648333333333333,0.008499999999999999,0.23483333333333334,0.00016666666666666666,0.0003333333333333333,0.011333333333333334,0.015,0.004,0.0055000000000000005,0.021,0.0023333333333333335,0.004666666666666667,0.0035,0.0035,0.0036666666666666666,0.0035
324,870,34,36,6,4.843290328979492,0.00041862563307410155,2.658064524332682,0.0,0.0,0.0,0.0,2.064,0.3438333333333334,0.01,0.3125,0.00016666666666666666,0.0003333333333333333,0.015833333333333335,0.021666666666666667,0.005666666666666667,0.005999999999999999,0.023666666666666666,0.0031666666666666666,0.004833333333333334,0.0033333333333333335,0.0035,0.0035,0.0033333333333333335
360,870,34,36,6,4.901378393173218,0.00043393579022637727,2.6362335681915283,0.0,0.0,0.0,0.0,2.265,0.3775,0.010833333333333334,0.3451666666666667,0.00016666666666666666,0.0003333333333333333,0.017833333333333333,0.022333333333333334,0.005833333333333334,0.006666666666666667,0.0265,0.0035,0.005,0.0033333333333333335,0.0033333333333333335,0.0035,0.0033333333333333335
