Kernel Name,Number of Calls,Average Duration (s),Total Bytes,Total FLOPs (SP),Total FLOPs (DP),Total FLOPs (HP),AI (SP),AI (DP),AI (HP),Achieved Performance (SP),Achieved Performance (DP),Achieved Performance (HP)
grid_class_linear_interpolated_azm_2d_1547_1,1,0.000005,18559,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1560_1,1,0.000004,128,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1571_1,1,0.000004,383,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1580_1,1,0.000004,1280,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1547_2,1,0.000005,18688,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1560_2,1,0.000004,254,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1571_2,1,0.000004,513,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
calc_pressure_calculate_thvm_237_1,1,0.000005,5503,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1547_3,1,0.000005,18430,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1560_3,1,0.000004,128,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1571_3,1,0.000004,511,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1580_2,1,0.000004,1278,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1547_4,1,0.000005,18174,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1560_4,1,0.000004,129,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1571_4,1,0.000004,642,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1547_5,1,0.000005,18434,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1560_5,1,0.000003,128,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1571_5,1,0.000004,386,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1547_6,1,0.000005,18305,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1560_6,1,0.000004,127,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1571_6,1,0.000004,384,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1547_7,1,0.000005,18944,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1560_7,1,0.000003,129,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1571_7,1,0.000005,641,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
clubb_driver_run_clubb_2332_1,1,0.000502,746822157,0,0,69274800,0.000000,0.000000,0.092759,0.000000,0.000000,0.138081
clubb_driver_run_clubb_2343_1,1,0.002289,3466391080,0,0,15049380,0.000000,0.000000,0.004342,0.000000,0.000000,0.006575
clubb_driver_run_clubb_2399_1,1,0.001837,2790079959,0,0,16098544,0.000000,0.000000,0.005770,0.000000,0.000000,0.008761
clubb_driver_run_clubb_2446_1,1,0.000007,130,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
calc_pressure_calculate_thvm_237_2,1,0.000299,413128637,17505558,201313917,0,0.042373,0.487291,0.000000,0.058589,0.673777,0.000000
clubb_driver_prescribe_forcings_5724_1,1,0.000092,119504412,0,0,17405730,0.000000,0.000000,0.145649,0.000000,0.000000,0.188472
clubb_driver_prescribe_forcings_5732_1,1,0.000229,331427678,0,0,17397940,0.000000,0.000000,0.052494,0.000000,0.000000,0.075976
time_dependent_input_apply_time_dependent_forcings_635_1,1,0.000073,49715309,0,0,17432128,0.000000,0.000000,0.350639,0.000000,0.000000,0.238927
time_dependent_input_apply_time_dependent_forcings_680_1,1,0.000073,49705964,0,0,17323804,0.000000,0.000000,0.348526,0.000000,0.000000,0.238174
time_dependent_input_apply_time_dependent_forcings_752_1,1,0.000073,49723792,0,0,17420256,0.000000,0.000000,0.350340,0.000000,0.000000,0.239605
grid_class_linear_interpolated_azm_2d_1547_8,1,0.000197,269880202,0,25677360,0,0.000000,0.095144,0.000000,0.000000,0.130559,0.000000
grid_class_linear_interpolated_azm_2d_1560_8,1,0.000006,524416,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
grid_class_linear_interpolated_azm_2d_1571_8,1,0.000007,2097537,0,189120,0,0.000000,0.090163,0.000000,0.000000,0.027110,0.000000
