ngrdcol,iterations,nz,tasks,total_runs,total,compute_i,baseline,advance_clubb_core_api,output_multi_col,mainloop,acc_data_copyin_r,runloop_r,mainloop_r,loop_init_r,advance_clubb_core_api_r,acc_data_create_r,i_loops_r,ik_loops_r,ik_loops_big_r,penta_lu_solve_multiple_rhs_lhs_r,tridiag_lu_solve_single_rhs_multiple_lhs_r,tridiag_lu_solve_multiple_rhs_lhs_r,fill_holes_r,penta_lu_solve_single_rhs_multiple_lhs_r,setup_pdf_parameters_r,SILHS_r,microphys_r,loop_end_r,output_multi_col_r
128,870,134,128,9,3.5827815532684326,0.00037824092595411797,0.6211551030476888,0.0,0.0,0.0,0.0,2.855,0.3171111111111111,0.011000000000000001,0.2568888888888889,0.00011111111111111112,0.00022222222222222223,0.01411111111111111,0.022777777777777775,0.014222222222222223,0.0,0.007777777777777778,0.003777777777777778,0.0054444444444444445,0.009111111111111111,0.008666666666666666,0.008666666666666666,0.008777777777777778,0.008555555555555556
256,870,134,128,8,4.208165168762207,0.0005138887185246551,0.6314996878306071,0.0,0.0,0.0,0.0,3.532,0.4415,0.011125,0.396625,0.000125,0.00025,0.025375,0.03325,0.014875,0.0,0.008125,0.01025,0.00575,0.00675,0.00575,0.00575,0.005875,0.005625
384,870,134,128,8,5.337478876113892,0.0006785599436339747,0.6147016684214274,0.0,0.0,0.0,0.0,4.637,0.5795,0.012625,0.539375,0.000125,0.00025,0.035875,0.0465,0.015375,0.0,0.008375,0.015875,0.006,0.00575,0.0045,0.004625,0.004625,0.0045
512,870,134,128,7,4.1328980922698975,0.000581546500529105,0.5912799040476481,0.0,0.0,0.0,0.0,3.424,0.489,0.011142857142857144,0.44585714285714284,0.00014285714285714287,0.00028571428571428574,0.02,0.039,0.017142857142857144,0.0,0.009571428571428573,0.022285714285714287,0.006571428571428571,0.0064285714285714285,0.0054285714285714284,0.0054285714285714284,0.005571428571428572,0.005285714285714285
640,870,134,128,7,5.459667682647705,0.00079387480532725,0.6249701182047526,0.0,0.0,0.0,0.0,4.383,0.626,0.012142857142857144,0.587,0.00014285714285714287,0.00028571428571428574,0.030428571428571426,0.05071428571428571,0.01742857142857143,0.0,0.009714285714285715,0.028,0.006857142857142858,0.0054285714285714284,0.004428571428571428,0.004428571428571428,0.004571428571428572,0.004428571428571428
768,870,134,128,7,6.493891716003418,0.0009696192994558819,0.588910182317098,0.0,0.0,0.0,0.0,5.529,0.7897142857142857,0.015428571428571429,0.7488571428571429,0.00014285714285714287,0.00028571428571428574,0.04157142857142857,0.07842857142857143,0.018,0.0,0.01,0.03371428571428571,0.007285714285714285,0.005285714285714285,0.0041428571428571434,0.0041428571428571434,0.004285714285714286,0.0041428571428571434
896,870,134,128,7,7.462553262710571,0.0011190874431716593,0.647310733795166,0.0,0.0,0.0,0.0,6.605,0.9432857142857143,0.017142857142857144,0.9014285714285714,0.00014285714285714287,0.00028571428571428574,0.05285714285714286,0.09528571428571429,0.019142857142857145,0.0,0.010857142857142857,0.039142857142857146,0.008142857142857143,0.005285714285714285,0.004,0.004,0.0041428571428571434,0.004
1024,870,134,128,6,5.603086471557617,0.0009516464339362251,0.6354920864105225,0.0,0.0,0.0,0.0,4.854,0.8088333333333333,0.014499999999999999,0.7673333333333333,0.00016666666666666666,0.0003333333333333333,0.0375,0.06416666666666666,0.01983333333333333,0.0,0.011166666666666667,0.04766666666666666,0.007833333333333333,0.005666666666666667,0.004333333333333333,0.0045,0.0045,0.004333333333333333
1152,870,134,128,6,6.876590728759766,0.0012038225567356075,0.5926369825998942,0.0,0.0,0.0,0.0,5.9,0.9831666666666666,0.017499999999999998,0.9393333333333334,0.00016666666666666666,0.0003333333333333333,0.04833333333333333,0.085,0.021,0.0,0.011833333333333333,0.05366666666666667,0.008666666666666666,0.005666666666666667,0.004166666666666667,0.004333333333333333,0.004333333333333333,0.004166666666666667
1280,870,134,128,6,7.6036553382873535,0.0013410455117889443,0.6033977667490641,0.0,0.0,0.0,0.0,6.789,1.1313333333333333,0.02,1.0848333333333333,0.00016666666666666666,0.0003333333333333333,0.06016666666666667,0.09716666666666667,0.021333333333333333,0.0,0.012666666666666666,0.06,0.009333333333333334,0.005833333333333334,0.004166666666666667,0.004166666666666667,0.004333333333333333,0.004166666666666667
