ngrdcol,iterations,nz,tasks,total_runs,total,compute_i,baseline,advance_clubb_core_api,output_multi_col,mainloop,acc_data_copyin_r,runloop_r,mainloop_r,loop_init_r,advance_clubb_core_api_r,acc_data_create_r,i_loops_r,ik_loops_r,ik_loops_big_r,penta_lu_solve_multiple_rhs_lhs_r,tridiag_lu_solve_single_rhs_multiple_lhs_r,tridiag_lu_solve_multiple_rhs_lhs_r,fill_holes_r,penta_lu_solve_single_rhs_multiple_lhs_r,setup_pdf_parameters_r,SILHS_r,microphys_r,loop_end_r,output_multi_col_r
128,870,268,128,9,7.168176889419556,0.0008438002966778894,0.5612205664316813,0.0,0.0,0.0,0.0,6.18,0.6866666666666666,0.015333333333333334,0.6455555555555555,0.00011111111111111112,0.00022222222222222223,0.023777777777777776,0.082,0.01622222222222222,0.0,0.007555555555555556,0.008333333333333333,0.006666666666666666,0.005222222222222222,0.004333333333333333,0.004333333333333333,0.0044444444444444444,0.004222222222222222
256,870,268,128,8,8.683637619018555,0.001162823406672569,0.590386708577474,0.0,0.0,0.0,0.0,7.36,0.919625,0.01775,0.878,0.000125,0.00025,0.0415,0.09,0.03225,0.0,0.01475,0.02125,0.013125,0.005,0.003875,0.004,0.004,0.003875
384,870,268,128,8,9.747780799865723,0.001319218469762254,0.5660202503204346,0.0,0.0,0.0,0.0,9.03,1.128375,0.02,1.085,0.000125,0.00025,0.055375,0.101875,0.04875,0.0,0.021875,0.032,0.01975,0.005,0.00375,0.003875,0.003875,0.00375
512,870,268,128,7,9.547645092010498,0.0014706761052716802,0.5912276109059652,0.0,0.0,0.0,0.0,8.827,1.2607142857142857,0.02014285714285714,1.2174285714285715,0.00014285714285714287,0.00028571428571428574,0.065,0.10814285714285714,0.06514285714285714,0.0,0.02914285714285714,0.04314285714285714,0.02642857142857143,0.004857142857142858,0.0037142857142857142,0.0037142857142857142,0.003857142857142857,0.0037142857142857142
640,870,268,128,7,12.68193769454956,0.0019780582721336463,0.6355628172556559,0.0,0.0,0.0,0.0,10.409,1.4867142857142857,0.02242857142857143,1.4414285714285715,0.00014285714285714287,0.00028571428571428574,0.08157142857142856,0.11542857142857144,0.08142857142857142,0.0,0.03614285714285714,0.05385714285714286,0.033,0.004857142857142858,0.0037142857142857142,0.0037142857142857142,0.003857142857142857,0.0037142857142857142
768,870,268,128,7,12.824224948883057,0.0020039780778054925,0.6199984550476074,0.0,0.0,0.0,0.0,12.093,1.727142857142857,0.02642857142857143,1.6778571428571427,0.00014285714285714287,0.00028571428571428574,0.09742857142857143,0.1382857142857143,0.09842857142857142,0.0,0.04357142857142857,0.06585714285714286,0.039714285714285716,0.004857142857142858,0.0037142857142857142,0.0037142857142857142,0.0037142857142857142,0.0035714285714285718
896,870,268,128,7,14.599819898605347,0.0022914685769751873,0.6447762648264567,0.0,0.0,0.0,0.0,13.813,1.9728571428571429,0.02957142857142857,1.9208571428571428,0.00014285714285714287,0.00028571428571428574,0.11585714285714287,0.14757142857142855,0.11485714285714287,0.0,0.05071428571428571,0.07542857142857143,0.04642857142857143,0.004857142857142858,0.0035714285714285718,0.0035714285714285718,0.0037142857142857142,0.0035714285714285718
1024,870,268,128,6,10.267321109771729,0.00185939429820269,0.5612828731536865,0.0,0.0,0.0,0.0,8.527,1.421,0.0195,1.3780000000000001,0.00016666666666666666,0.00016666666666666666,0.03916666666666666,0.084,0.13366666666666668,0.0,0.059166666666666666,0.08816666666666667,0.05416666666666667,0.005,0.003833333333333333,0.003833333333333333,0.003833333333333333,0.003833333333333333
1152,870,268,128,6,12.50276231765747,0.002279641238513425,0.603035052617391,0.0,0.0,0.0,0.0,11.708,1.9509999999999998,0.024666666666666667,1.9029999999999998,0.00016666666666666666,0.0003333333333333333,0.053,0.16083333333333333,0.15183333333333335,0.0,0.067,0.10066666666666667,0.06133333333333333,0.005,0.0036666666666666666,0.003833333333333333,0.003833333333333333,0.0036666666666666666
1280,870,268,128,6,15.440748929977417,0.0028472809347004115,0.5779424508412679,0.0,0.0,0.0,0.0,13.047,2.1743333333333332,0.027333333333333334,2.1231666666666666,0.00016666666666666666,0.0003333333333333333,0.06883333333333333,0.1698333333333333,0.17033333333333334,0.0,0.075,0.112,0.06883333333333333,0.005166666666666667,0.0036666666666666666,0.0036666666666666666,0.003833333333333333,0.0036666666666666666
