ngrdcol,iterations,nz,tasks,total_runs,total,compute_i,baseline,advance_clubb_core_api,output_multi_col,mainloop,acc_data_copyin_r,runloop_r,mainloop_r,loop_init_r,advance_clubb_core_api_r,acc_data_create_r,i_loops_r,ik_loops_r,ik_loops_big_r,penta_lu_solve_multiple_rhs_lhs_r,tridiag_lu_solve_multiple_rhs_lhs_r,fill_holes_r,penta_lu_solve_single_rhs_multiple_lhs_r,setup_pdf_parameters_r,SILHS_r,microphys_r,loop_end_r,output_multi_col_r
128,870,45,128,9,2.695831298828125,0.00026795331241222784,0.5977568626403809,0.0,0.0,0.0,0.0,1.96,0.21755555555555556,0.010888888888888889,0.1251111111111111,0.00011111111111111112,0.00022222222222222223,0.004555555555555556,0.012888888888888889,0.0022222222222222222,0.0012222222222222222,0.0015555555555555557,0.001,0.014555555555555556,0.014777777777777779,0.014666666666666668,0.014777777777777779,0.014666666666666668
256,870,45,128,8,2.6415536403656006,0.00029053227883189115,0.6194489796956381,0.0,0.0,0.0,0.0,1.928,0.240625,0.0105,0.159,0.000125,0.00025,0.007625,0.014125,0.004375,0.002,0.003875,0.001875,0.012625,0.012875,0.012875,0.012875,0.01275
384,870,45,128,8,2.82670259475708,0.0003226803180358419,0.5808475812276205,0.0,0.0,0.0,0.0,2.102,0.2625,0.010375,0.1885,0.000125,0.00025,0.01,0.01575,0.006625,0.002875,0.00575,0.00275,0.011375,0.0115,0.011375,0.0115,0.011375
512,870,45,128,7,2.6297996044158936,0.00033574279175472833,0.585126002629598,0.0,0.0,0.0,0.0,1.903,0.2715714285714286,0.010142857142857143,0.201,0.00014285714285714287,0.00028571428571428574,0.011285714285714286,0.016714285714285716,0.008857142857142857,0.0037142857142857142,0.007714285714285714,0.0037142857142857142,0.010857142857142857,0.010857142857142857,0.010857142857142857,0.010857142857142857,0.010714285714285714
640,870,45,128,7,2.771758794784546,0.0003546255301698415,0.6120893160502116,0.0,0.0,0.0,0.0,2.071,0.29557142857142854,0.010142857142857143,0.2305714285714286,0.00014285714285714287,0.00028571428571428574,0.014,0.018142857142857145,0.011285714285714286,0.004428571428571428,0.009571428571428573,0.004714285714285714,0.010142857142857143,0.009714285714285715,0.009857142857142858,0.009857142857142858,0.009714285714285715
768,870,45,128,7,2.9797897338867188,0.00038997246126823236,0.6048574447631836,0.0,0.0,0.0,0.0,2.251,0.32142857142857145,0.010285714285714285,0.2611428571428572,0.00014285714285714287,0.00014285714285714287,0.016571428571428574,0.019857142857142858,0.013571428571428571,0.0054285714285714284,0.011571428571428571,0.005714285714285714,0.009428571428571429,0.008857142857142857,0.008857142857142857,0.008857142857142857,0.008714285714285714
896,870,45,128,7,3.1745400428771973,0.0004222084540255943,0.6032905578613281,0.0,0.0,0.0,0.0,2.455,0.3505714285714286,0.01057142857142857,0.2951428571428571,0.00014285714285714287,0.00028571428571428574,0.01942857142857143,0.02114285714285714,0.016,0.006142857142857143,0.013428571428571429,0.006714285714285714,0.008714285714285714,0.007857142857142858,0.007857142857142858,0.007857142857142858,0.007714285714285714
1024,870,45,128,6,2.3124544620513916,0.00032975376794164665,0.5911397933959961,0.0,0.0,0.0,0.0,1.633,0.27216666666666667,0.0105,0.20066666666666666,0.00016666666666666666,0.00016666666666666666,0.007,0.013333333333333334,0.017666666666666667,0.006833333333333334,0.015,0.007333333333333333,0.011166666666666667,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334
1152,870,45,128,6,2.708838939666748,0.0004067544431674222,0.5855807463328043,0.0,0.0,0.0,0.0,2.005,0.33383333333333337,0.010333333333333333,0.2755,0.00016666666666666666,0.00016666666666666666,0.008833333333333334,0.025333333333333333,0.020666666666666667,0.007833333333333333,0.017166666666666667,0.008666666666666666,0.009,0.008499999999999999,0.008499999999999999,0.008499999999999999,0.008333333333333333
1280,870,45,128,6,2.865508794784546,0.0004394585449881328,0.5715351899464926,0.0,0.0,0.0,0.0,2.152,0.3585,0.010166666666666666,0.3045,0.00016666666666666666,0.00016666666666666666,0.011666666666666667,0.02666666666666667,0.023333333333333334,0.008666666666666666,0.01916666666666667,0.009666666666666667,0.008499999999999999,0.007666666666666666,0.007666666666666666,0.007666666666666666,0.0075
1408,870,45,128,6,2.9969258308410645,0.0004649095912850527,0.5700977643330892,0.0,0.0,0.0,0.0,2.358,0.3925,0.010833333333333334,0.342,0.00016666666666666666,0.0003333333333333333,0.014499999999999999,0.028333333333333335,0.025833333333333333,0.009666666666666667,0.021500000000000002,0.010666666666666666,0.007833333333333333,0.006833333333333334,0.006833333333333334,0.006833333333333334,0.006833333333333334
1536,870,45,128,6,3.0690701007843018,0.0004810509706061158,0.5579840342203776,0.0,0.0,0.0,0.0,2.44,0.4063333333333334,0.010333333333333333,0.3575,0.00016666666666666666,0.0003333333333333333,0.016166666666666666,0.029166666666666664,0.02816666666666667,0.0105,0.023333333333333334,0.011666666666666667,0.007666666666666666,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.0065
1664,870,45,128,6,3.345649480819702,0.0005335487929645017,0.5605247815450033,0.0,0.0,0.0,0.0,2.706,0.4506666666666667,0.011500000000000002,0.4048333333333333,0.00016666666666666666,0.0003333333333333333,0.020166666666666666,0.030833333333333334,0.030666666666666665,0.011333333333333334,0.025333333333333333,0.012666666666666666,0.007166666666666666,0.005833333333333334,0.005833333333333334,0.005999999999999999,0.005833333333333334
1792,870,45,128,6,3.485222816467285,0.0005582617769448389,0.5710963408152262,0.0,0.0,0.0,0.0,2.843,0.47350000000000003,0.011500000000000002,0.4303333333333333,0.00016666666666666666,0.0003333333333333333,0.022500000000000003,0.032,0.03316666666666667,0.012166666666666666,0.027333333333333334,0.013833333333333335,0.006666666666666667,0.005333333333333333,0.005333333333333333,0.0055000000000000005,0.005333333333333333
1920,870,45,128,6,3.672933578491211,0.0005945045677029157,0.5696197350819906,0.0,0.0,0.0,0.0,3.028,0.5043333333333333,0.011999999999999999,0.4615,0.00016666666666666666,0.0003333333333333333,0.024833333333333332,0.0335,0.035833333333333335,0.013,0.029333333333333333,0.014833333333333332,0.0065,0.005166666666666667,0.005166666666666667,0.005166666666666667,0.005
2048,870,45,128,5,2.8068959712982178,0.0005078029815264589,0.5979530016581217,0.0,0.0,0.0,0.0,2.155,0.43079999999999996,0.0118,0.3826,0.0002,0.0004,0.013600000000000001,0.026000000000000002,0.038,0.013800000000000002,0.031,0.0158,0.0073999999999999995,0.0062,0.0062,0.0062,0.0062
2304,870,45,128,5,3.281494617462158,0.0006170628536706684,0.597271203994751,0.0,0.0,0.0,0.0,2.635,0.5267999999999999,0.012199999999999999,0.48440000000000005,0.0002,0.0004,0.0174,0.0414,0.0436,0.0158,0.035199999999999995,0.018,0.0064,0.005,0.005,0.0052,0.005
2560,870,45,128,5,3.5434482097625732,0.0006768330029600881,0.5992246468861898,0.0,0.0,0.0,0.0,2.901,0.58,0.0128,0.5376000000000001,0.0002,0.0004,0.022,0.0436,0.048799999999999996,0.017599999999999998,0.0396,0.020200000000000003,0.0062,0.0048000000000000004,0.005,0.005,0.0048000000000000004
2816,870,45,128,5,3.8785080909729004,0.0007541666542433232,0.597883145014445,0.0,0.0,0.0,0.0,3.203,0.6402,0.013600000000000001,0.5984,0.0002,0.0004,0.0268,0.0474,0.054200000000000005,0.0194,0.0438,0.0224,0.006,0.0046,0.0048000000000000004,0.0048000000000000004,0.0046
3072,870,45,128,5,3.5769803524017334,0.0006890245050306065,0.5797237555185953,0.0,0.0,0.0,0.0,2.952,0.5900000000000001,0.013000000000000001,0.5484,0.0002,0.0004,0.0184,0.0376,0.059199999999999996,0.0212,0.048,0.0246,0.0062,0.0048000000000000004,0.0048000000000000004,0.0048000000000000004,0.0046
3328,870,45,128,5,4.070281982421875,0.0007952019994743026,0.6111532847086588,0.0,0.0,0.0,0.0,3.466,0.693,0.013600000000000001,0.6524,0.0002,0.0004,0.022600000000000002,0.052000000000000005,0.0646,0.023,0.052000000000000005,0.0268,0.0058000000000000005,0.004399999999999999,0.004399999999999999,0.0046,0.004399999999999999
3584,870,45,128,5,4.323740720748901,0.0008661042684796213,0.5561871528625488,0.0,0.0,0.0,0.0,3.704,0.7405999999999999,0.013800000000000002,0.7008,0.0002,0.0004,0.0268,0.054000000000000006,0.0698,0.0248,0.05620000000000001,0.028999999999999998,0.0056,0.004200000000000001,0.004399999999999999,0.004399999999999999,0.004200000000000001
3840,870,45,128,5,4.690255880355835,0.0009383332409621199,0.6085062821706136,0.0,0.0,0.0,0.0,4.018,0.8034000000000001,0.0158,0.7618,0.0002,0.0004,0.0316,0.05739999999999999,0.0746,0.026600000000000002,0.06,0.031,0.0056,0.004200000000000001,0.004200000000000001,0.004200000000000001,0.004200000000000001
4096,870,45,128,4,3.7040703296661377,0.000888331068886651,0.6126782099405924,0.0,0.0,0.0,0.0,3.07,0.76725,0.01475,0.72675,0.00025,0.00025,0.02325,0.056,0.08675,0.0285,0.06425,0.03325,0.0055,0.00425,0.00425,0.00425,0.00425
8192,870,45,128,3,5.160930633544922,0.001734143259577063,0.6348167260487875,0.0,0.0,0.0,0.0,4.504,1.5010000000000001,0.024999999999999998,1.4503333333333333,0.0003333333333333333,0.0006666666666666666,0.04533333333333334,0.10533333333333333,0.17966666666666667,0.06566666666666666,0.13366666666666668,0.071,0.005666666666666667,0.004,0.004,0.004333333333333333,0.004
16384,870,45,128,2,13.694815158843994,0.007426673881852306,0.7724026044209799,0.0,0.0,0.0,0.0,12.426,6.212,0.177,5.9995,0.0,0.0035,0.2045,0.5465,0.5975,0.3045,0.2625,0.294,0.0125,0.0035,0.004,0.0045,0.0035
32768,870,45,128,1,21.900899648666382,0.024172539637920043,0.870790163675944,0.0,0.0,0.0,0.0,20.681,20.678,0.479,20.156,0.0,0.013,0.908,1.758,1.627,0.927,0.575,0.761,0.017,0.003,0.004,0.005,0.003
65536,870,45,128,1,55.81471276283264,0.06306643522562196,0.9469141165415446,0.0,0.0,0.0,0.0,54.083,54.076,0.887,53.142,0.001,0.024,2.346,4.117,5.594,2.455,1.189,1.981,0.02,0.003,0.005,0.005,0.003

# Timing script options
# - ngrdcol_max = 65536
# - tasks = 128 -- results in a max of 512 columns per task
# - working dir = /glade/u/home/huebler/Code/clubb_performance_testing_feb25/clubb_7763_2x_intel/run_scripts
# - hostname = dec2360 : dec2360.de.hpc.ucar.edu
# - git hash = f9484b3cd6e900baa67a97d868e9b31af041637a
# - tweaked_params = C8,C6rt,C6thl,beta
# - gpu used = False
# - module list = ncarenv-basic/23.09:conda/latest:intel/2024.2.1:craype/2.7.31:ncarcompilers/1.0.0:gcc-toolchain/13.2.0:cray-mpich/8.1.29:hdf5/1.14.3:netcdf/4.9.2:gptl/8.1.1

# Metadata from clubb.in (the parameters listed are only the last set tested)
# &multicol_def
# ngrdcol = 512
# l_output_multi_col = .false.
# calls_per_out = 1
# /
# &clubb_params_nl
# C1 = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, ... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
# C1b = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0,... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
# C1c = 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0,... 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
# C2rt = 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0... 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0
# C2thl = 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.... 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0
# C2rtthl = 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, ... 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0
